timestamp,device_id,devices_discovered,devices_expected,discovery_accuracy,response_delay_ms
2025-07-20T00:03:15.496187,eui-617dd6c4ee40e566,0,0,1.0,0.018835067749023438
2025-07-20T00:04:53.597582,eui-617dd6c4ee40e566,0,0,1.0,0.02288818359375
2025-07-20T00:05:35.377193,eui-617dd6c4ee40e566,0,0,1.0,0.010967254638671875
2025-07-20T00:05:47.254622,eui-617dd6c4ee40e566,0,0,1.0,0.022172927856445312
2025-07-20T00:05:58.930644,eui-617dd6c4ee40e566,0,0,1.0,0.030994415283203125
2025-07-20T00:11:28.697253,eui-617dd6c4ee40e566,0,0,1.0,0.030040740966796875
2025-07-20T00:14:23.573578,eui-617dd6c4ee40e566,0,0,1.0,0.009059906005859375
2025-07-20T14:32:10.188104,eui-617dd6c4ee40e566,0,0,1.0,0.10013580322265625
2025-07-20T14:32:42.453121,eui-617dd6c4ee40e566,0,0,1.0,0.011205673217773438
2025-07-20T14:52:37.806762,eui-617dd6c4ee40e566,0,0,1.0,0.04100799560546875
2025-07-20T14:53:33.530746,eui-617dd6c4ee40e566,0,0,1.0,0.008344650268554688
